time,prec
13830,1.4035332469575224e-06
13860,1.6559545201744186e-06
13890,2.963640554298763e-06
13920,2.6949503535433905e-06
13950,2.311216576345032e-06
13980,1.2148843779868912e-06
14010,1.7064687654055888e-06
14040,1.8722402046478237e-06
14070,1.0663943612598814e-06
14100,3.3628218716330593e-06
14130,1.5122815284485114e-06
14160,6.659058726654621e-07
14190,2.3973273073352175e-06
14220,1.587434894645412e-06
14250,7.145272888919862e-07
14280,5.620286742669123e-07
14310,1.227237589773722e-06
14340,1.114543124458578e-06
14370,3.7146151043998543e-06
14400,1.3713602129428182e-06
14430,9.704237982077757e-07
14460,2.6416737455292605e-06
14490,3.06980473396834e-06
14520,2.9894733870605705e-06
14550,4.418358003022149e-06
14580,6.82096583659586e-07
14610,2.764061036941712e-06
14640,3.0049150154809467e-06
14670,1.1479357908683596e-06
14700,1.6539613625354832e-06
14730,2.9070563414279604e-06
14760,8.652368137518351e-07
14790,2.0205018245178508e-06
14820,1.7362785911245737e-06
14850,2.4684329673618777e-06
14880,2.4174589725589612e-06
14910,1.172332304122392e-06
14940,1.2846271602029447e-06
14970,2.177874421249726e-06
15000,7.648078508282197e-07
15030,7.323048407670285e-07
15060,1.2888000355815166e-06
15090,3.1603797197021777e-06
15120,1.5667509387640166e-06
15150,2.4831090286170365e-06
15180,2.3286424948310014e-06
15210,3.96577297578915e-06
15240,2.159917812605272e-06
15270,1.1359177278791321e-06
15300,1.0286930773872882e-06
15330,5.351661229724414e-07
15360,1.6691358268872136e-06
15390,9.535755225442699e-07
15420,7.496734610867861e-07
15450,1.5788536984473467e-06
15480,2.089201643684646e-06
15510,1.674791747063864e-06
15540,1.29931038372888e-06
15570,2.3038201106828637e-06
15600,1.8031282706942875e-06
15630,1.364610966447799e-06
15660,1.6104811493278248e-06
15690,1.3043655826550093e-06
15720,1.4028630630491534e-06
15750,4.3391440840423456e-07
15780,1.1056997664127266e-06
15810,1.6078300859589945e-06
15840,2.420190412522061e-06
15870,1.9848525880661327e-06
15900,1.1717123697962961e-06
15930,1.1650585065581254e-06
15960,1.4436072888202034e-06
15990,1.5091520708665485e-06
16020,1.0454615448907134e-06
16050,2.2076928871683776e-06
16080,1.8270288819621783e-06
16110,2.4932580799941206e-06
16140,1.325877178715018e-06
16170,2.0032914562762016e-06
16200,6.373117003022344e-07
16230,1.0763930049506598e-06
16260,1.10870246317063e-06
16290,1.1688158565448248e-06
16320,2.090207544824807e-06
16350,1.1560046004888136e-06
16380,1.4193684592100908e-06
16410,1.2996520126762334e-06
16440,2.561618202889804e-06
16470,2.0138518266321626e-06
16500,2.3581610548717435e-06
16530,9.730259762363858e-07
16560,8.521328709321097e-07
16590,1.8149014522350626e-06
16620,1.1279671525699086e-06
16650,2.4888088319130475e-06
16680,2.0958805180271156e-06
16710,1.6833621430123458e-06
16740,2.1216299046500353e-06
16770,2.6565763278085797e-07
16800,1.1019526482414221e-06
16830,8.405475000472507e-07
16860,5.651174888043897e-07
16890,1.4393140190804843e-06
16920,1.5124322771953302e-06
16950,6.403705583579722e-07
16980,9.745853049025754e-07
17010,2.8857032248197356e-06
17040,2.9697703212150373e-06
17070,1.6432126130894176e-06
17100,4.504322532739025e-06
17130,6.233042313397164e-07
17160,2.518902647352661e-06
17190,1.8071215208692593e-06
17220,9.030045475810766e-07
17250,1.5360611769210664e-06
17280,3.14390877065307e-06
17310,2.2346232526615495e-06
17340,1.930395683302777e-06
17370,2.1771925275970716e-06
17400,3.2253888093691785e-06
17430,1.1334374221405596e-06
17460,1.4540087249770295e-06
17490,1.6587873687967658e-06
17520,1.948871158674592e-06
17550,2.3508493995905155e-06
17580,3.8012066738701833e-07
17610,1.3565569361162488e-06
17640,9.001984722090128e-07
17670,1.4411557458515745e-07
17700,2.371128175582271e-06
17730,2.1617340735247126e-06
17760,1.6886899629753316e-06
17790,1.5679754596931161e-06
17820,7.61414469252486e-07
17850,2.19463345274562e-06
17880,7.088276561262319e-07
17910,1.3258214721645345e-06
17940,1.2295705573706073e-06
17970,1.2156841648902628e-06
18000,2.1207276859058766e-06
18030,1.8250402717967518e-06
18060,1.6918210121730226e-06
18090,1.2541244132080465e-06
18120,1.0460510111443e-06
18150,1.4363523632709985e-06
18180,8.531587809557095e-07
18210,1.1507472663652152e-06
18240,2.4462415240122937e-06
18270,1.4305826425697887e-06
18300,1.0281530649081105e-06
18330,2.0490408587647835e-06
18360,1.7888908132590586e-06
18390,2.8041747555107577e-06
18420,1.1943521940338542e-06
18450,6.577831186405092e-07
18480,2.995085196744185e-06
18510,7.807902875356376e-07
18540,2.348145244468469e-06
18570,1.8946781210615882e-06
18600,1.414234247931745e-06
18630,2.47379239226575e-06
18660,9.76361093307787e-07
18690,5.487608518706111e-07
18720,1.6552581882933737e-06
18750,1.4569963013855158e-06
18780,1.4886613826092798e-06
18810,4.804096533916891e-06
18840,2.506504642951768e-06
18870,1.246710439772869e-06
18900,2.141205413863645e-06
18930,1.5026049595689983e-06
18960,8.585813588979363e-07
18990,8.319238418152963e-07
19020,1.5829389212740352e-06
19050,1.2032942322548479e-06
19080,1.0821499927260447e-06
19110,1.9306164631416323e-06
19140,1.6577590713495738e-06
19170,2.286365315740113e-06
19200,1.1598417586355936e-06
19230,1.0940765378109063e-06
19260,1.1762639360313187e-06
19290,1.9408209936955245e-06
19320,2.74546164291678e-06
19350,2.1585976810456486e-06
19380,9.061511150321166e-07
19410,3.442229399297503e-06
19440,1.946172687894432e-06
19470,1.1977531357842963e-06
19500,6.131689929134154e-07
19530,2.0879635940218577e-06
19560,1.9785661606874783e-06
19590,1.341927031717205e-06
19620,1.666634375396825e-06
19650,2.0561017208819976e-06
19680,1.8371155192653532e-06
19710,2.254206947327475e-06
19740,1.6103141433632118e-06
19770,9.488123851042474e-07
19800,1.1205333976249676e-06
19830,4.813894634025928e-07
19860,2.154546791643952e-06
19890,2.3798179427103605e-06
19920,1.0928750953098643e-06
19950,1.3871673445464694e-06
19980,6.806735086684057e-07
20010,1.9490057638904545e-06
20040,1.8362889022682793e-06
20070,1.420817284270015e-06
20100,5.190115643927129e-07
20130,1.068291908268293e-06
20160,1.160486817752826e-06
20190,4.755425493385701e-07
20220,1.4326328710012604e-06
20250,1.4834305375188706e-06
20280,2.4846401629474713e-06
20310,2.8057875169906765e-06
20340,2.6447050913702697e-06
20370,8.308504675369477e-07
20400,1.2256349464223604e-06
20430,2.3186546513898065e-06
20460,1.4090384183873539e-06
20490,1.1447092447269824e-06
20520,3.9761681591699016e-07
20550,3.1950155516824452e-06
20580,2.38019470089057e-06
20610,2.7768969630415086e-06
20640,1.6740764294809196e-06
20670,2.5583892693248345e-06
20700,1.613196786820481e-06
20730,1.2624489045265364e-06
20760,2.1821747395733837e-06
20790,2.5984645617427304e-06
20820,7.04554736330465e-07
20850,2.884579544115695e-06
20880,1.6522263877050136e-06
20910,1.616875124454964e-06
20940,2.618249254737748e-06
20970,3.383840521564707e-06
21000,1.8612972780829296e-06
21030,3.2156071938516106e-06
21060,9.682892141427146e-07
21090,1.2419915265127202e-06
21120,1.2411210263962857e-06
21150,2.6284196792403236e-06
21180,1.3803629599351552e-06
21210,2.4877683699742192e-06
21240,1.6871296111276024e-06
21270,9.585780844645342e-07
21300,2.707556859604665e-06
21330,1.5803981341377948e-06
21360,1.0808943216034095e-06
21390,3.1768795452080667e-06
21420,3.893550797329226e-07
21450,1.1614711183938198e-06
21480,5.036593506702047e-07
21510,7.356580908890464e-07
21540,1.1913231219295994e-06
21570,3.1990825846150983e-06
21600,2.3608040464750957e-06
21630,1.2737464203382842e-06
21660,6.932427254469076e-07
21690,1.46191155181441e-06
21720,3.2145135264727287e-06
21750,1.9640169739432167e-06
21780,2.2904114302946255e-06
21810,1.1735468206097721e-06
21840,1.0191234878220712e-06
21870,1.277827095691464e-06
21900,1.3463325103657553e-06
21930,8.257280796897248e-07
21960,1.4841264146525646e-06
21990,8.553567454328004e-07
22020,1.5413152141263708e-06
22050,2.1192970507399878e-06
22080,2.118763632097398e-06
22110,9.234436220140196e-07
22140,1.536871991447697e-06
22170,2.4911259970394894e-06
22200,3.1492353969042597e-07
22230,1.5523661431871005e-06
22260,1.5434363831445808e-06
22290,2.9193734008003958e-06
22320,1.8434050161886262e-06
22350,6.089220505600679e-07
22380,1.5830179336262518e-06
22410,1.0416973736937507e-06
22440,2.2741464817954693e-06
22470,6.594738124476862e-07
22500,1.0803690884131356e-06
22530,6.587914640476811e-07
22560,1.9845692804665305e-06
22590,1.5903393659755238e-06
22620,2.1602868400805164e-06
22650,1.386556164106878e-06
22680,3.8331136238412e-06
22710,1.5251939657900948e-06
22740,8.367273949261289e-07
22770,1.8027545820586965e-06
22800,1.4854058463242836e-06
22830,2.1560845198109746e-06
22860,1.43069235036819e-06
22890,1.865192643890623e-06
22920,2.114981953127426e-06
22950,9.142018484453729e-07
22980,1.7557008504809346e-06
23010,1.9517092368914746e-06
23040,4.990158117834653e-07
23070,1.6585846651651082e-06
23100,1.4811599839958944e-06
23130,9.013823500936269e-07
23160,2.012676304730121e-06
23190,1.2783433476215578e-06
23220,1.5467210232600337e-06
23250,3.0329194942169124e-06
23280,8.976023764262209e-07
23310,4.944869260725682e-07
23340,8.98340260846453e-07
23370,5.37090159014042e-07
23400,8.123946031446394e-07
23430,6.985615641497134e-07
23460,1.179147830043803e-06
23490,1.9618680653366027e-06
23520,6.403670909094217e-07
23550,1.5753138313812087e-06
23580,8.887538456292532e-07
23610,6.407165642485779e-07
23640,6.95843539233465e-07
23670,1.849652107921429e-06
23700,2.738478315222892e-06
23730,5.171511361368175e-07
23760,1.8904569287769846e-06
23790,7.292377404155559e-07
23820,5.201760586714954e-07
23850,2.105346311509493e-06
23880,2.395060619164724e-06
23910,1.5580268382109352e-06
23940,8.792912353783322e-07
23970,1.7568203247719794e-06
24000,2.748561655607773e-06
24030,2.1972302874928573e-06
24060,2.303889004906523e-06
24090,1.0804881185322301e-06
24120,1.950079649759573e-06
24150,4.3217042389187554e-07
24180,1.223498429681058e-06
24210,1.151738047155959e-06
24240,1.4759752957616001e-06
24270,9.525698487777845e-07
24300,2.3587911073263967e-06
24330,9.80998265731614e-07
24360,2.1473263132065767e-06
24390,1.3207449001129135e-06
24420,1.4193997230904642e-06
24450,1.2527628996394924e-06
24480,9.290533853345551e-07
24510,8.58771386447188e-07
24540,2.268027856189292e-06
24570,1.6685540913385921e-06
24600,1.9142635210300796e-06
24630,2.7949229206569726e-06
24660,1.0903381735261064e-06
24690,2.0321792817412643e-06
24720,2.8905724320793524e-06
24750,2.1108057808305603e-06
24780,1.659762915551255e-06
24810,1.9143897134199506e-06
24840,2.01721309167624e-06
24870,1.0281592039973475e-06
24900,1.3296639735926874e-06
24930,7.049580403872824e-07
24960,1.178459683615074e-06
24990,1.203876536237658e-06
25020,9.957062729881727e-07
25050,5.323057621353655e-07
25080,1.4094613334236783e-06
25110,1.9969929780927487e-06
25140,4.94213793444942e-07
25170,1.7133295386884129e-06
25200,1.2543546290544327e-06
25230,1.0352781600886374e-06
25260,3.8170219340827316e-07
25290,1.949080797203351e-06
25320,2.416410325167817e-06
25350,1.6937543705353164e-06
25380,1.1572248013180797e-06
25410,1.9272108602308435e-06
25440,2.798848072416149e-06
25470,1.7846346054284368e-06
25500,1.8217646129414788e-06
25530,1.9811584479612065e-06
25560,3.800722936375678e-07
25590,6.433865564758889e-07
25620,7.335027589761012e-07
25650,2.0485017557803076e-06
25680,1.950265868799761e-06
25710,3.7044030705146724e-06
25740,1.5449268175871111e-06
25770,9.259879334422294e-07
25800,1.1095057743659709e-06
25830,7.763875373711926e-07
25860,1.3156776503819856e-06
25890,8.2702217696351e-07
25920,2.953464900201652e-06
25950,7.016050176389399e-07
25980,8.836050824356789e-07
26010,1.4313583278635633e-06
26040,1.0610040135361487e-06
26070,1.4376917079061968e-06
26100,9.148649269263842e-07
26130,1.2183313629066106e-06
26160,2.0169707113382174e-06
26190,1.7161729601866682e-06
26220,2.015844984271098e-06
26250,9.988091278501088e-07
26280,6.796947218390414e-07
26310,1.24331882034312e-06
26340,1.155188101620297e-06
26370,1.6677895473549142e-06
26400,4.4208723011252005e-06
26430,7.078623411871376e-07
26460,1.2143026424382697e-06
26490,4.0058975514511985e-07
26520,7.427433388329518e-07
26550,1.4196134543453809e-06
26580,9.442389909963822e-07
26610,1.409180867995019e-06
26640,2.0646912162192166e-06
26670,2.1989867491356563e-06
26700,2.3446143586625112e-06
26730,2.5081685635086615e-06
26760,1.50599544213037e-06
26790,1.2857866522608674e-06
26820,1.2839702776545892e-06
26850,1.4261524938774528e-06
26880,2.718031055337633e-06
26910,2.2424155758926645e-06
26940,1.4804342072238796e-06
26970,2.502987626940012e-06
27000,1.6172569985428709e-06
27030,1.6478429643029813e-06
27060,8.138363796206249e-07
27090,1.5363135617008083e-06
27120,8.63368541104137e-07
27150,2.545439656387316e-06
27180,9.243024123861687e-07
27210,3.5278458199172746e-06
27240,1.6612384570180438e-06
27270,1.1444903975643683e-06
27300,5.860624128217751e-07
27330,1.4865394177832059e-06
27360,6.781498314012424e-07
27390,9.017800266519771e-07
27420,2.4792825570330024e-06
27450,2.8643926270888187e-06
27480,9.09160746687121e-07
27510,1.8872201508202124e-06
27540,1.528000666439766e-06
27570,1.693895001153578e-06
27600,1.3331057289178716e-06
27630,1.9738139656055864e-07
27660,7.870798981457483e-07
27690,2.16973285205313e-06
27720,2.031849362538196e-06
27750,1.1433828603912843e-06
27780,1.4676713817607379e-06
27810,1.6971407603705302e-06
27840,1.2775279856214183e-06
27870,1.434435603187012e-06
27900,2.6404277377878316e-06
27930,9.039756037054758e-07
27960,5.259033173388161e-07
27990,5.473784767673351e-07
28020,4.898150791632361e-07
28050,1.8906789591710549e-06
28080,3.8079056139395107e-06
28110,6.620457497774623e-07
28140,1.304599322793365e-06
28170,3.111333398919669e-06
28200,1.9074525425821776e-06
28230,1.6570780871916213e-06
28260,1.7473109892307548e-06
28290,1.6079010265457327e-06
28320,1.8167975213145837e-06
28350,2.3141069505072664e-06
28380,2.1823464066983433e-06
28410,2.8040903998771682e-06
28440,1.2826785678043962e-06
28470,1.5131938653212273e-06
28500,1.9636843262560433e-06
28530,2.9313500817806926e-06
28560,2.3676836917729815e-06
28590,2.0989061795262387e-06
28620,1.9341930510563543e-06
28650,3.291668917881907e-06
28680,7.566875410702778e-07
28710,1.0596641004667617e-06
28740,1.6416628341175965e-06
28770,5.498853852259344e-07
28800,9.91382648862782e-07
